pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
0.94283,2.02048,-0.288688,1.0,,,,muon,120059985
1.61549,-1.96307,0.922459,-1.0,,,,muon,120059985
19.0533,-1.12134,-2.47025,1.0,,,,muon,120111969
18.2935,1.89541,-0.025462,-1.0,,,,muon,120111969
1.48292,1.54922,-0.984138,-1.0,,,,muon,120111969
18.0983,1.23785,1.42813,1.0,,,,muon,120114689
3.41081,1.09965,1.37436,-1.0,,,,muon,120114689
2.24962,-2.0628,-1.33338,1.0,,,,muon,120122273
8.73162,-1.50048,-2.35284,1.0,,,,muon,120122273
2.30358,-2.29931,-1.95952,-1.0,,,,muon,120122273
1.47425,2.16122,2.15669,-1.0,,,,muon,120122273
2.19094,-1.58593,0.79189,-1.0,,,,muon,120141593
8.96986,-1.22608,-1.43178,1.0,,,,muon,120141593
0.731574,-2.17645,0.29252,-1.0,,,,muon,120141593
2.23956,-1.58399,0.801419,-1.0,,,,muon,120141593
8.56089,-2.25046,2.11001,-1.0,,,,muon,120190849
16.3885,-0.698751,-1.6886,1.0,,,,muon,120190849
1.35791,-1.75708,1.1796,-1.0,,,,muon,120190849
1.48685,-1.51194,1.25214,-1.0,,,,muon,120190849
1.04242,-2.32205,1.43481,-1.0,,,,muon,120190849
2.64418,-1.88597,1.95067,-1.0,,,,muon,120190849
1.12966,-1.69941,1.09339,-1.0,,,,muon,120190849
0.973167,1.69945,-0.68444,-1.0,,,,muon,120190849
0.708701,-2.08419,1.06799,-1.0,,,,muon,120190849
0.896742,-1.80551,-0.0312235,-1.0,,,,muon,120190849
1.53641,-1.63141,1.30186,-1.0,,,,muon,120190849
1.64048,-1.4585,1.28417,-1.0,,,,muon,120190849
14.268,0.915387,-2.49775,,0.000720438,0.000604999,0.0219522,photon,120221473
5.48606,0.0369693,-1.36881,-1.0,,,,muon,120221473
12.0549,-0.20481,0.710665,1.0,,,,muon,120221473
3.43516,1.01894,-1.93337,1.0,-0.00439019,0.00246501,-0.0638839,electron,120234945
4.8888,-0.278077,-2.19331,1.0,,,,muon,120234945
13.0616,1.09006,-1.94493,1.0,,,,muon,120234945
5.62943,1.02929,1.19849,-1.0,,,,muon,120234945
1.09741,1.63359,-2.98011,1.0,,,,muon,120234945
