pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id,et,theta,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,rp_x,rp_y,rp_z,calo_energy,chi2,ndof
4.96133,0.0795689,-1.29758,-1.0,,,,,,,tau,Event_1203594102,,,1.56487,1.69541,0.930377,0.813703,1.23706,0.867074,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.93917,2.68221,0.771141,1.0,,,,,,,tau,Event_1203594102,,,0.0,3.33668,2.63153,0.398605,5.27766,2.4094,0.953377,2.43104,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.13172,2.85,-2.98919,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.57278,-2.90528,-2.24284,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1103,4.25705,0.67192,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.52618,-1.78559,-0.436615,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4906,-2.99022,0.506859,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.42428,3.41949,-2.1853,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.85095,-3.58364,-0.777726,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.08734,-4.01809,-1.32904,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.04916,-1.96548,-2.96219,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.20479,-3.53844,-1.81146,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.99567,0.213983,0.592405,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.01301,4.31958,-1.22137,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.20203,-4.58845,-0.526436,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.60894,3.17639,0.299917,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.66449,-3.90403,-0.0310137,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9048,-3.72737,1.92682,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5767,2.54809,-1.91977,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.43833,4.62294,-0.458151,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.71111,-3.7957,-3.06499,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.41508,2.50462,-0.838189,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.06348,3.00084,-1.16578,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.84442,1.66472,0.370577,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.11396,3.77005,-0.540167,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.81628,-4.34931,2.273,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.58287,4.21315,1.73925,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.75266,-2.95152,1.06164,0.0,,,,,,,tau,Event_1203594102,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.61916,-2.08065,-0.0435742,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.19851,-2.31457,-2.12311,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,0.707047,0.279317,1.40628,0.899037,0.507248,0.545037,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64615,2.28271,2.46372,-1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,1.22654,0.0,0.732736,0.732736,0.732736,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.83765,-0.675707,1.10763,1.0,,,,,,,tau,Event_1203594102,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.484957,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.33161,0.939045,0.0630819,-1.0,,,,,,,tau,Event_1203594102,,,0.574188,0.0,0.586477,0.0,0.41396,0.41396,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.63183,-2.21609,2.6326,1.0,,,,,,,tau,Event_1203594102,,,0.0,0.668163,1.99948,0.0900178,2.67541,1.36949,2.36543,0.264658,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.44062,1.42274,-2.23489,1.0,,,,,,,tau,Event_1203594102,,,0.735178,0.0,0.47881,0.722504,0.274515,0.274515,0.0,0.217749,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.59843,1.38175,1.97996,1.0,,,,,,,tau,Event_1203594102,,,0.798592,0.0,0.687334,0.0,1.67193,1.06723,0.604698,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5841,0.531603,-2.42906,-1.0,,,,,,,tau,Event_1203594102,,,1.13223,0.0,0.90339,0.654468,0.71648,0.71648,0.0,0.502293,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.961704,1.3634,-2.66915,-1.0,,,,,,,tau,Event_1203594102,,,0.0,1.16886,0.619963,0.608617,0.712507,0.712507,0.712507,0.618925,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.974349,1.83602,-0.0558256,-1.0,,,,,,,tau,Event_1203594102,,,0.822864,0.590909,0.938809,0.423904,0.797452,0.797452,0.0,0.586782,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
