pt,eta,phi,particle_type,event_id
5.50597,-3.65352,1.68483,tau,137440354
3.46562,4.7757,1.15147,tau,137440354
3.4387,-1.40451,2.3143,tau,137440354
3.3374,-4.27605,-2.0033,tau,137440354
5.54278,-2.93706,2.52234,tau,137440354
3.2885,-3.40042,-0.696779,tau,137440354
9.32208,-2.94524,1.79408,tau,137440354
0.704285,-0.870099,-2.34451,tau,137440354
1.62191,-2.04313,1.88024,tau,137440354
2.34697,1.5617,2.09778,tau,137440354
2.62118,-1.45982,0.432052,tau,137440354
1.06902,2.19965,0.74867,tau,137440354
2.82856,-1.29936,-3.08792,tau,137440354
9.08585,1.91913,-2.0678,tau,137440354
3.55677,-2.27149,2.54013,tau,137440354
0.638795,-0.345712,-2.16564,tau,137440354
0.59005,0.537924,0.773577,tau,137440354
2.63829,-1.45382,-1.90865,tau,137440354
4.96934,2.41746,1.42285,tau,137440354
1.56312,1.33436,0.101616,tau,137440354
4.57634,0.578063,2.24791,tau,137440354
3.06652,-2.35608,-0.38835,tau,137440354
1.19606,-1.00548,0.635621,tau,137440354
0.775324,1.21893,-2.4031,tau,137440354
21.3275,0.022772,-1.27662,photon,137440354
10.6521,-0.353804,2.49781,photon,137440354
23.8616,-2.02068,-1.20971,muon,137440354
43.3751,-0.852283,1.82177,muon,137440354
1.23013,-2.22911,-2.09664,muon,137440354
1.2792,-2.24917,-2.09916,muon,137440354
1.38801,-2.23257,-2.09623,muon,137440354
1.33229,-2.12031,-1.91088,muon,137440354
1.10963,0.56736,-3.1349,track,137440354
1.01776,-0.412048,-2.87151,track,137440354
1.29813,0.164202,-2.75263,track,137440354
1.53942,1.68344,-2.60358,track,137440354
0.775324,1.21893,-2.4031,track,137440354
0.892519,-1.84212,-2.21074,track,137440354
1.32155,-1.6071,-1.81961,track,137440354
1.07268,1.03596,-1.6916,track,137440354
1.3909,1.10744,-1.72575,track,137440354
1.08224,-0.632694,-1.3631,track,137440354
1.33589,-0.188986,-1.30742,track,137440354
20.9501,0.0214756,-1.23984,track,137440354
23.8616,-2.02068,-1.20971,track,137440354
1.36368,1.2873,-1.13384,track,137440354
0.773342,-1.15377,-0.540588,track,137440354
0.835982,-0.50855,-0.458261,track,137440354
1.06373,1.68075,-0.415364,track,137440354
1.51423,-0.340156,-0.378658,track,137440354
1.08654,-0.32948,-0.26284,track,137440354
1.43203,0.281662,-0.230513,track,137440354
1.28996,-0.351812,-0.256148,track,137440354
3.37696,0.13955,-0.087925,track,137440354
1.1189,1.13947,-0.0255209,track,137440354
1.01876,-1.74606,-0.0137643,track,137440354
1.12838,1.69107,0.0801001,track,137440354
1.56312,1.33436,0.101616,track,137440354
0.941515,-1.26909,0.104728,track,137440354
1.47146,1.77942,0.136566,track,137440354
1.02677,1.0435,0.203991,track,137440354
1.47596,-0.126283,0.30701,track,137440354
1.92643,-0.246092,0.274322,track,137440354
0.913178,-1.34017,0.261169,track,137440354
0.878231,-0.0512211,0.363814,track,137440354
0.947794,-0.135821,0.607596,track,137440354
1.19606,-1.00548,0.635621,track,137440354
1.5626,-2.12125,0.73859,track,137440354
2.3123,-0.431932,0.806771,track,137440354
1.32867,-0.331483,0.809055,track,137440354
2.11164,-0.48054,0.863581,track,137440354
0.945512,0.181492,0.921392,track,137440354
1.20067,-1.96728,0.963404,track,137440354
0.901946,0.272197,1.08982,track,137440354
1.88948,0.701511,1.15212,track,137440354
1.52966,0.280757,1.16904,track,137440354
1.0406,-1.75069,1.40068,track,137440354
0.860101,-0.396059,1.40866,track,137440354
1.00063,0.856096,1.65799,track,137440354
43.3751,-0.852283,1.82177,track,137440354
0.805976,0.892062,1.84043,track,137440354
1.62191,-2.04313,1.88024,track,137440354
