pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
0.814087,-1.50484,-0.395138,-1.0,0.00071517,0.000652162,0.0894495,track,22109111
2.20424,-2.47671,-1.15307,1.0,0.00102479,0.000774988,0.0873128,track,22109111
2.40056,0.73871,1.62177,1.0,0.000621288,0.000632366,0.0399744,track,22109111
0.96432,-0.856816,-2.84338,1.0,0.000709337,0.000606397,-0.000548022,track,22109111
0.826189,-0.557442,-1.68111,-1.0,0.000862033,0.000620739,-0.00016603,track,22109111
1.12356,-1.16897,0.680402,1.0,0.000713643,0.000620842,-0.00584817,track,22109111
1.06469,-1.40914,0.994901,-1.0,0.000679197,0.00065186,-0.00531129,track,22109111
0.797902,1.64694,-1.80121,-1.0,4.82192e-05,0.00079183,-0.00489803,track,22109111
1.39525,2.39484,0.490596,-1.0,0.000774941,0.000496824,-0.00631991,track,22109111
0.99287,2.28393,-1.57995,-1.0,0.000469984,0.000643771,-0.0526822,track,22109111
0.897853,-1.73048,-2.90398,-1.0,0.000140488,0.00297257,0.0879154,track,22109111
1.20453,-2.3385,1.4729,1.0,-0.000883234,0.000796406,-0.0317087,track,22109111
1.07691,-2.45053,-2.1966,-1.0,-0.00489513,0.00467816,0.130793,track,22109111
2.39152,-2.17101,-0.677808,-1.0,0.00109383,0.00113622,-0.0450044,track,22109111
0.931939,0.933988,-2.2448,1.0,0.00139955,7.94452e-05,0.00458777,track,22109111
0.7887,0.555256,-1.91975,1.0,0.00759117,-0.00186868,-0.0268417,track,22109111
3.28348,-0.677167,0.393561,1.0,0.00134012,-0.000905773,-0.00760634,track,22109111
0.879249,-0.67344,0.871272,-1.0,-0.00275962,0.00354993,0.00175167,track,22109111
0.779223,1.43352,1.94414,1.0,0.010404,0.00443813,0.0387805,track,22109111
1.14043,0.164949,-3.10535,-1.0,0.000829347,-0.00300043,-0.0224982,track,22109111
4.64853,0.224572,-2.6955,1.0,4.07243e-05,0.00201223,-0.0291724,track,22109111
1.26909,-0.504358,-0.342754,1.0,-0.0133351,-0.038684,-0.0193154,track,22109111
1.48941,0.7289,1.20339,1.0,0.0108536,-0.003268,-0.0242988,track,22109111
2.27915,0.161161,1.57005,-1.0,0.000831032,0.000634865,0.0688596,track,22109111
1.03661,-1.00297,2.76147,1.0,0.00345044,0.00751828,0.0212378,track,22109111
1.23995,2.05045,-0.788328,1.0,0.0321298,0.0318534,0.179919,track,22109111
1.45901,2.39656,2.733,-1.0,0.00075022,0.000761374,-0.0203683,track,22109111
0.850166,-1.68167,2.13297,-1.0,-0.00393909,-0.00227142,-0.100585,track,22109111
1.06903,-2.09739,-2.93332,1.0,0.000683695,0.000704078,-0.0242299,track,22109111
1.39784,-2.27976,-3.01933,1.0,0.000658834,0.000989824,0.0316875,track,22109111
1.7366,-2.46309,-1.79257,1.0,0.00272601,0.000183049,-0.00118448,track,22109111
1.27977,-2.4344,2.96431,-1.0,0.000416186,-0.000941573,-0.00459767,track,22109111
1.01197,0.734702,-2.95369,-1.0,0.0123356,-0.0605742,0.0035619,track,22109111
1.04213,-0.218228,-2.0067,1.0,0.0226014,-0.00956025,-0.167918,track,22109111
1.55843,-1.25205,0.28681,1.0,0.00836244,-0.0253452,0.0377635,track,22109111
