pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
1.04653,1.09085,-2.92345,-1.0,0.00074245,0.000534867,-0.00189891,-0.589424,-0.130656,0.797188,track,652620608
0.935112,0.42467,-1.57194,-1.0,0.000754956,0.000614509,-0.00178147,-0.00104957,-0.91614,0.400858,track,652620608
0.772485,1.17483,-1.1588,1.0,0.000876761,0.00068093,-0.00171315,0.225827,-0.516753,0.825814,track,652620608
1.68704,-1.00977,-2.8115,-1.0,0.000740534,0.000580473,0.0539223,-0.608511,-0.208491,-0.765667,track,652620608
0.844592,0.707387,-2.43937,1.0,0.000614102,0.000748038,0.0453209,-0.605489,-0.512307,0.609036,track,652620608
0.772892,0.856988,-2.91471,1.0,0.000700741,0.000734773,0.0452199,-0.700864,-0.161798,0.694702,track,652620608
2.42711,-1.91614,-2.16061,-1.0,0.000649151,0.000665597,0.0450489,-0.160248,-0.23943,-0.957598,track,652620608
0.960214,-1.94736,2.15226,-1.0,0.00072114,0.000606945,0.0456512,-0.153575,0.23366,-0.960113,track,652620608
1.55691,-0.902619,2.72434,1.0,0.000710326,0.000602545,-0.0832838,-0.636732,0.28225,-0.717571,track,652620608
0.950256,1.24542,-2.93599,1.0,0.000739876,0.000552666,0.0255606,-0.520405,-0.108528,0.846995,track,652620608
0.918908,-0.143297,0.221504,-1.0,0.000684282,0.000771366,-0.0679588,0.965637,0.21746,-0.142324,track,652620608
1.34165,1.03092,2.16226,-1.0,-0.00107007,-0.000596587,0.0471125,-0.352859,0.525344,0.774276,track,652620608
1.10278,-2.13926,-2.28763,-1.0,-0.00594097,0.0064196,0.0310258,-0.152597,-0.175101,-0.972653,track,652620608
1.18837,-2.38923,-2.17558,1.0,0.000453507,0.000800792,-0.0909438,-0.103409,-0.149612,-0.983322,track,652620608
1.22516,-2.35161,0.998307,-1.0,0.00144303,0.000150483,-0.0843031,0.102235,0.158631,-0.982031,track,652620608
1.11022,0.503801,-1.63086,1.0,-0.037424,0.00291071,-0.00725295,-0.0531381,-0.883661,0.465101,track,652620608
1.00612,1.11855,-1.70456,1.0,0.00329097,0.000272229,-0.0891021,-0.0787474,-0.58519,0.807064,track,652620608
1.15775,-0.746129,2.6572,1.0,0.000764306,0.000676693,0.0565915,-0.685212,0.360562,-0.632834,track,652620608
1.5178,0.591547,2.91377,-1.0,-0.00522618,-0.0250344,-0.0408358,-0.825473,0.19138,0.531007,track,652620608
1.06221,1.9292,2.69154,-1.0,0.00488906,0.00921329,0.0842946,-0.256194,0.123772,0.958668,track,652620608
1.2439,2.30077,-2.16106,1.0,0.0381613,-0.0244932,0.0061105,-0.110411,-0.164806,0.980127,track,652620608
1.22028,-1.71309,-0.25326,-1.0,0.00160027,0.00402531,-0.0750845,0.338118,-0.087511,-0.937026,track,652620608
0.841338,-1.51825,1.3808,-1.0,-0.00023042,0.000800114,-0.0514458,0.0789659,0.410594,-0.908392,track,652620608
0.990499,-2.37033,-1.04105,1.0,-0.0403139,-0.0234369,0.0437856,0.0936261,-0.159886,-0.982685,track,652620608
0.816474,0.700841,-2.42771,1.0,0.000499543,0.000877391,0.0498919,-0.601866,-0.521394,0.604901,track,652620608
1.21688,-0.626061,-2.08924,1.0,-0.0979462,0.0568977,0.167618,-0.412098,-0.722343,-0.555334,track,652620608
1.66855,-0.348006,-2.87152,-1.0,0.0236771,-0.0822759,0.0383969,-0.9082,-0.251421,-0.334606,track,652620608
0.904178,0.829452,-2.92931,-1.0,0.0265476,-0.119218,0.0430185,-0.716589,-0.154445,0.680182,track,652620608
0.940337,0.660061,-1.6513,-1.0,0.0196197,-0.000909468,-0.0392272,-0.0655984,-0.813108,0.578404,track,652620608
1.06436,0.566467,-0.500003,-1.0,0.0757541,0.137895,0.270959,0.753431,-0.411605,0.51276,track,652620608
