Name,Index,WasRun,Accept,Error,Objects
HLT_Ele27_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v11,244,1,0,0,
HLT_Ele27_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Ele15_CaloIdT_CaloIsoVL_trackless_v7,245,1,0,0,
HLT_Ele27_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT15_v7,246,1,0,0,
HLT_Ele23_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_HFT30_v7,247,1,0,0,
HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet30_v2,248,1,0,0,
HLT_Ele25_CaloIdVT_CaloIsoVL_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet50_40_30_v2,249,1,0,0,
HLT_Ele27_WP80_v11,250,1,0,0,
HLT_Ele27_WP80_PFMET_MT50_v5,251,1,0,0,
HLT_Ele30_CaloIdVT_TrkIdT_v6,252,1,0,0,
HLT_Ele32_CaloIdL_CaloIsoVL_TrkIdVL_TrkIsoVL_v11,253,1,0,0,
HLT_Ele32_CaloIdT_CaloIsoT_TrkIdT_TrkIsoT_SC17_Mass50_v6,254,1,0,0,
HLT_Ele80_CaloIdVT_GsfTrkIdT_v2,255,1,0,0,
HLT_Ele90_CaloIdVT_GsfTrkIdT_v2,256,1,0,0,
HLT_DoubleEle8_CaloIdT_TrkIdVL_v12,257,1,0,0,
HLT_DoubleEle33_CaloIdL_v14,258,1,0,0,
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v7,259,1,0,0,
HLT_DoubleEle33_CaloIdT_v10,260,1,0,0,
HLT_Ele15_Ele8_Ele5_CaloIdL_TrkIdVL_v6,261,1,0,0,
HLT_LooseIsoPFTau35_Trk20_Prong1_v7,262,1,0,0,
HLT_LooseIsoPFTau35_Trk20_Prong1_MET70_v7,263,1,0,0,
HLT_LooseIsoPFTau35_Trk20_Prong1_MET75_v7,264,1,0,0,
HLT_IsoMu15_eta2p1_LooseIsoPFTau35_Trk20_Prong1_L1ETM20_v7,265,1,0,0,
HLT_DoubleMediumIsoPFTau30_Trk1_eta2p1_Jet30_v1,266,1,0,0,
HLT_DoubleMediumIsoPFTau30_Trk1_eta2p1_v1,267,1,0,0,
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_Prong1_v1,268,1,0,0,
HLT_DoubleMediumIsoPFTau35_Trk1_eta2p1_v1,269,1,0,0,
HLT_IsoMu18_eta2p1_MediumIsoPFTau25_Trk1_eta2p1_v1,270,1,0,0,
HLT_BTagMu_DiJet20_Mu5_v4,271,1,0,0,
HLT_BTagMu_DiJet40_Mu5_v4,272,1,0,0,
HLT_BTagMu_DiJet70_Mu5_v4,273,1,0,0,
HLT_BTagMu_DiJet110_Mu5_v4,274,1,0,0,
HLT_BTagMu_Jet300_Mu5_v4,275,1,0,0,
HLT_Mu7_Ele7_CaloIdT_CaloIsoVL_v6,276,1,0,0,
HLT_Mu8_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v8,277,1,0,0,
HLT_Mu8_DiJet30_v5,278,1,0,0,
HLT_Mu8_TriJet30_v5,279,1,0,0,
HLT_Mu8_QuadJet30_v5,280,1,0,0,
HLT_IsoMu12_DoubleCentralJet65_v2,281,1,0,0,
HLT_Mu15_eta2p1_L1ETM20_v4,282,1,0,0,
HLT_Mu24_PFJet30_PFJet25_Deta3_CentralPFJet25_v2,283,1,0,0,
HLT_Mu24_CentralPFJet30_CentralPFJet25_v2,284,1,0,0,
HLT_IsoMu24_PFJet30_PFJet25_Deta3_CentralPFJet25_v2,285,1,0,0,
HLT_IsoMu24_CentralPFJet30_CentralPFJet25_v2,286,1,0,0,
HLT_IsoMu24_CentralPFJet30_CentralPFJet25_PFMET20_v2,287,1,0,0,
HLT_Ele32_WP80_PFJet30_PFJet25_Deta3_v2,288,1,0,0,
HLT_Ele32_WP80_PFJet30_PFJet25_Deta3_CentralPFJet30_v2,289,1,0,0,
HLT_Ele32_WP80_CentralPFJet35_CentralPFJet25_v2,290,1,0,0,
HLT_Ele32_WP80_CentralPFJet35_CentralPFJet25_PFMET20_v2,291,1,0,0,
HLT_IsoMu17_eta2p1_CentralPFNoPUJet30_BTagIPIter_v2,292,1,0,0,
HLT_IsoMu17_eta2p1_CentralPFNoPUJet30_v2,293,1,0,0,
HLT_IsoMu17_eta2p1_TriCentralPFNoPUJet30_30_20_v2,294,1,0,0,
HLT_Mu17_eta2p1_CentralPFNoPUJet30_BTagIPIter_v2,295,1,0,0,
HLT_Mu17_eta2p1_TriCentralPFNoPUJet30_30_20_v2,296,1,0,0,
HLT_IsoMu20_WCandPt80_v2,297,1,0,0,
HLT_Mu17_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_v8,298,1,0,0,
HLT_Mu12_eta2p1_DiCentral_40_20_DiBTagIP3D1stTrack_v5,299,1,0,0,-81/94 -81/94 83/2 
HLT_Mu12_eta2p1_DiCentral_40_20_BTagIP3D1stTrack_v5,300,1,0,0,-81/94 
HLT_Mu12_eta2p1_DiCentral_40_20_v5,301,1,0,0,-81/94 
HLT_Mu12_eta2p1_DiCentral_20_v5,302,1,0,0,-81/94 
HLT_Mu15_eta2p1_TriCentral_40_20_20_DiBTagIP3D1stTrack_v5,303,1,0,0,-81/94 -81/94 83/2 
HLT_Mu15_eta2p1_TriCentral_40_20_20_BTagIP3D1stTrack_v5,304,1,0,0,-81/94 
HLT_Mu15_eta2p1_TriCentral_40_20_20_v5,305,1,0,0,-81/94 
HLT_Mu30_Ele30_CaloIdL_v7,306,1,0,0,
HLT_IsoMu17_eta2p1_DiCentralPFNoPUJet30_PFNoPUHT350_PFMHT40_v1,307,1,0,0,
HLT_IsoMu20_eta2p1_CentralPFJet80_v7,308,1,0,0,
HLT_DoubleRelIso1p0Mu5_Mass8_PFNoPUHT175_v1,309,1,0,0,
HLT_DoubleRelIso1p0Mu5_Mass8_PFNoPUHT225_v1,310,1,0,0,
HLT_DoubleMu8_Mass8_PFNoPUHT175_v1,311,1,0,0,
HLT_DoubleMu8_Mass8_PFNoPUHT225_v1,312,1,0,0,
HLT_RelIso1p0Mu5_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT175_v1,313,1,0,0,
HLT_RelIso1p0Mu5_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT225_v1,314,1,0,0,
HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT175_v1,315,1,0,0,
HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT225_v1,316,1,0,0,
HLT_PFNoPUHT350_Mu15_PFMET45_v1,317,1,0,0,
HLT_PFNoPUHT350_Mu15_PFMET50_v1,318,1,0,0,
HLT_PFNoPUHT400_Mu5_PFMET45_v1,319,1,0,0,
HLT_PFNoPUHT400_Mu5_PFMET50_v1,320,1,0,0,
HLT_Mu40_PFNoPUHT350_v1,321,1,0,0,
HLT_Mu60_PFNoPUHT350_v1,322,1,0,0,
HLT_Mu40_HT200_v2,323,1,0,0,
HLT_DoubleMu5_Ele8_CaloIdT_TrkIdVL_v15,324,1,0,0,
HLT_DoubleMu8_Ele8_CaloIdT_TrkIdVL_v4,325,1,0,0,
HLT_Ele8_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Jet30_v6,326,1,0,0,
HLT_Ele8_CaloIdT_TrkIdT_DiJet30_v16,327,1,0,0,
HLT_Ele8_CaloIdT_TrkIdT_TriJet30_v16,328,1,0,0,
HLT_Ele8_CaloIdT_TrkIdT_QuadJet30_v16,329,1,0,0,
HLT_Ele17_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_Jet30_v6,330,1,0,0,
HLT_Ele25_CaloIdVT_TrkIdT_TriCentralPFNoPUJet30_30_20_v2,331,1,0,0,
HLT_Ele25_CaloIdVT_CaloIsoT_TrkIdT_TrkIsoT_CentralPFNoPUJet30_v6,332,1,0,0,
HLT_Ele25_CaloIdVT_CaloIsoT_TrkIdT_TrkIsoT_TriCentralPFNoPUJet30_30_20_v2,333,1,0,0,
HLT_Ele25_CaloIdVL_CaloIsoT_TrkIdVL_TrkIsoT_TriCentralPFNoPUJet30_30_20_v2,334,1,0,0,
HLT_Ele25_CaloIdVT_CaloIsoT_TrkIdT_TrkIsoT_CentralPFNoPUJet30_BTagIPIter_v7,335,1,0,0,
HLT_Ele27_WP80_CentralPFJet80_v7,336,1,0,0,
HLT_Ele27_WP80_WCandPt80_v7,337,1,0,0,
HLT_Ele30_CaloIdVT_TrkIdT_PFNoPUJet100_PFNoPUJet25_v6,338,1,0,0,
HLT_Ele30_CaloIdVT_TrkIdT_PFNoPUJet150_PFNoPUJet25_v6,339,1,0,0,
