energy,et,eta,phi,pos_x,pos_y,pos_z,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,event_id
188.046,31.2021,-2.48239,-0.324273,0.000739621,0.000639016,-0.0473004,0.272383,0.147587,0.124796,56.3934,80.3307,74.4077,99.1865,46.408,0.0447922,0.0363848,0.56856,0.809896,0.442994,4.79924,4.28718,2.86624,1.42094,4.80784,4.80784,2,2,2.49267,2.84597,1.65224,1.19374,3.9904,3.9904,1,1,Event_1357605031
21.3331,21.3275,0.022772,-1.27662,0.000727457,0.000624032,0.0333431,0.0,0.0,0.0,18.9147,19.9182,20.4002,21.3331,13.2356,0.0088068,0.00829885,0.886637,0.933677,0.959788,2.50656,1.36598,1.36598,0.0,0.0,0.0,0,0,1.8514,0.0,0.0,0.0,0.0,0.0,0,0,Event_137440354
11.3258,10.6521,-0.353804,2.49781,0.000727457,0.000624032,0.0333431,0.0,0.0,0.0,8.88499,10.044,9.10775,10.609,4.16993,0.00844048,0.00857254,0.837494,0.946741,0.798471,2.4803,1.00922,1.00922,0.0,0.0,0.0,0,0,1.91665,0.0,0.0,0.0,0.0,0.0,0,0,Event_137440354
26.1035,24.0741,-0.40778,2.86307,0.000691406,0.000624151,-0.0605083,0.0,0.0,0.0,17.6038,20.2598,20.2842,20.7692,15.0413,0.0112893,0.00922726,0.847592,0.97547,0.813006,5.95331,0.0,0.0,0.0,0.0,0.0,0,0,3.53297,0.0,0.0,0.0,0.0,0.0,0,0,Event_153791279
23.5944,17.8757,0.779966,1.68,0.000691406,0.000624151,-0.0605083,0.0,0.0,0.0,16.2516,17.4473,15.1765,19.1264,8.01424,0.00862409,0.00874043,0.849691,0.912207,0.640246,4.9409,0.0,0.0,0.0,0.0,0.0,0,0,3.25894,0.0,0.0,0.0,0.0,0.0,0,0,Event_153791279
108.55,30.9477,-1.92709,-0.497478,0.000691406,0.000624151,-0.0605083,0.446947,0.325123,0.121824,24.821,37.7485,36.5396,62.0615,17.5729,0.0260341,0.037416,0.399942,0.608243,0.390689,9.48134,9.58974,8.43694,1.1528,54.6559,44.3351,5,4,7.90129,8.14917,6.99636,1.1528,54.2226,43.9019,4,3,Event_153791279
13.8622,13.7465,0.129666,-0.589884,0.000686927,0.000610587,-0.0124654,0.0,0.0,0.0,10.1881,11.1007,10.8339,11.8214,8.06769,0.0100941,0.0101441,0.861838,0.939033,0.775975,5.44813,0.640148,0.640148,0.0,3.35191,2.58548,3,2,3.50886,0.0,0.0,0.0,1.89719,1.13076,2,1,Event_1605749984
105.328,83.9855,0.698625,0.834871,0.000720827,0.000610041,-0.0153337,0.0,0.0,0.0,52.0498,82.1491,82.2621,103.603,46.701,0.014254,0.0145525,0.502398,0.792924,0.778454,4.07988,2.19967,2.19967,0.0,1.6187,1.6187,1,1,2.26396,1.62059,1.62059,0.0,0.0,0.0,0,0,Event_200472330
227.739,186.896,-0.649623,-2.12719,0.00071388,0.000606578,0.0201714,0.403028,0.403028,0.0,48.0334,85.6098,76.4166,132.029,21.3292,0.0176085,0.0179972,0.363811,0.648418,0.334981,42.3521,44.4219,44.4219,0.0,146.692,95.2281,10,9,40.8041,40.3583,40.3583,0.0,146.225,94.7613,9,8,Event_200483690
152.116,132.016,-0.545037,0.910257,0.000693995,0.000618505,0.0956977,0.444775,0.444775,0.0,66.9389,95.353,75.3434,134.143,28.6343,0.0164078,0.0165325,0.49901,0.710829,0.493806,16.2296,5.00777,5.00777,0.0,38.4565,26.8106,8,7,13.7269,3.62229,3.62229,0.0,37.7914,26.1455,7,6,Event_200621946
