pos_1_x,pos_1_y,pos_1_z,dir_1_x,dir_1_y,dir_1_z,pos_2_x,pos_2_y,pos_2_z,dir_2_x,dir_2_y,dir_2_z
0.000695105,0.000644435,0.00523186,0.21486,1.34933,-0.402556,0.84514,0.95495,-0.392423,1.28458,0.357028,-0.393973
0.000326081,0.000621932,0.0707257,-0.0899961,1.89703,-6.41333,0.221272,0.924158,-3.16813,0.892652,1.59112,-6.15218
0.000486091,0.000624616,0.0301616,-0.063594,0.801076,1.12636,1.12893,0.59305,2.32343,0.58479,-0.484181,1.09255
0.000469751,0.000625904,-0.00578394,-0.0681768,0.879534,0.287871,1.01601,0.770654,0.492481,0.787164,-0.30614,0.279036
0.00070601,0.000639672,0.0731008,-0.0491819,0.958359,-0.914947,-1.02394,0.76009,-1.33582,-0.877245,-0.237538,-0.882705
0.000655537,0.000636562,0.0303065,-0.215248,1.95357,1.8087,0.341499,1.22865,1.23134,1.17675,1.54361,1.78683
0.00061558,0.0006273,0.0731618,-0.13369,1.00253,-0.0854316,0.799709,0.993304,-0.0484096,0.986343,0.0718481,-0.0840686
0.000776778,0.000652211,-0.0412894,-0.18097,2.19563,3.89501,-0.518587,1.16501,2.26007,-1.48057,1.57912,3.8411
0.000773978,0.000656873,-0.0753793,-0.297964,2.5208,-1.01175,-0.507598,1.16985,-0.592192,-1.62612,1.91911,-1.00576
0.000611659,0.000611008,0.0729456,-0.211749,0.719936,0.619274,-1.26678,-0.146452,1.57852,-0.0270789,-0.717323,0.602005
0.00113914,0.000845258,-0.0391808,-0.520842,1.1526,3.57902,0.0892243,1.07957,3.16813,0.645432,0.995106,3.39082
0.000674933,0.000632916,0.00467802,-0.328896,0.86312,-2.22214,-1.08098,0.457091,-3.16813,-0.75484,-0.316495,-2.01962
0.000657894,0.00061012,0.0053944,-3.72529,4.99071,-2.01215,-0.637341,1.10453,-0.408241,-2.43666,5.67643,-2.00086
0.000690223,0.00062384,0.0728571,-0.758533,0.923937,2.87413,-0.0936065,1.20599,3.16813,0.549044,0.960959,2.68739
0.000711639,0.000651929,0.00532577,-4.76642,5.1412,-2.15698,-0.764202,1.02088,-0.387509,-3.5679,5.97768,-2.14047
0.000725724,0.000672688,-0.0220365,-0.762928,0.719457,1.08342,-0.0368653,1.27469,1.46083,0.6888,0.732175,1.0618
0.000726014,0.000669895,0.00535376,-2.70462,2.40833,-0.698181,-0.760993,1.02326,-0.242246,-1.52055,3.25956,-0.693938
0.000755014,0.00070897,0.00551326,-0.632656,0.507253,-1.73965,0.19703,1.21829,-3.16813,0.655857,0.245893,-1.51418
0.000676962,0.000614351,0.00534827,-2.34077,2.05114,-3.28602,-1.1297,0.591595,-1.35448,-2.98203,0.745611,-3.24593
0.000834459,0.000854758,0.00525266,-0.639478,0.399622,-0.431498,0.448049,1.19391,-1.00228,0.710075,-0.129461,-0.408763
0.000692006,0.000630315,-0.0218148,-1.0733,0.547798,1.51424,-1.25331,-0.235363,1.69262,-0.76925,-0.874111,1.45444
0.000703293,0.00062381,0.0731478,-1.5279,0.617755,-0.935997,-0.842185,0.95755,-0.682066,-0.417453,1.56441,-0.927886
0.000707222,0.000657856,0.00554477,-0.980608,0.328516,-2.35985,-0.581388,1.12102,-3.16813,0.255889,0.891985,-2.14895
0.000715801,0.000699053,0.0731235,-1.30075,0.132305,-0.0605267,-0.978388,0.81789,0.00898982,-0.345776,1.23517,-0.0603926
0.000697293,0.000649467,-0.0412348,-1.51248,0.042676,1.18492,-1.09843,0.647787,1.00068,-0.758354,1.28214,1.16829
0.00027897,0.00112618,0.037456,-1.28049,-1.12907,6.18247,-0.775899,-0.361163,3.16813,-1.63381,-0.263762,5.96134
0.000415128,0.000597246,0.0041354,0.183199,-1.13741,5.42253,0.308335,-0.582299,3.16813,0.795407,-0.763294,5.20524
